Region,Year,Total Deaths Rate (in Thousands),,,,,,,,,,,Total Population (in Thousands),,,,,,,,,,
,,0 - 9, 10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70-79,80-89,90-99,Total,0 - 9,10 to 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 - 99,Total
Europe,2020,   14,   570,  3 070,  2 646,  8 942,  8 631,  15 267,  6 490,  4 510,  1 539,  51 678,  171 092,  299 676, 1 728 204,  664 174,  451 894,  296 681,  335 166,  164 512,  58 050,  6 568, 4 176 018
Europe,2021,   16,   600,  3 286,  2 865,  9 348,  9 004,  15 856,  6 673,  4 498,  1 490,  53 635,  169 061,  298 838, 1 727 137,  660 126,  450 242,  298 506,  339 443,  166 136,  58 808,  6 730, 4 175 027
Europe,2022,   17,   594,  2 972,  2 519,  8 531,  8 217,  14 569,  6 212,  4 299,  1 543,  49 473,  166 458,  297 207, 1 724 834,  655 139,  448 019,  300 240,  343 890,  168 854,  59 472,  6 888, 4 171 000
Europe,2023,   13,   561,  2 791,  2 332,  8 035,  7 738,  13 725,  5 886,  4 082,  1 491,  46 655,  163 235,  294 872, 1 724 283,  650 067,  445 909,  302 605,  349 630,  172 681,  60 268,  7 032, 4 170 581
South America,2000,   85,   537,  1 481,   909,  1 596,  1 436,  2 262,   860,   399,   74,  9 639,  158 545,  272 005,  576 562,  272 019,  160 728,  54 324,  48 400,  18 914,  4 201,   298, 1 565 997
South America,2001,   80,   547,  1 512,   925,  1 633,  1 469,  2 313,   884,   411,   78,  9 852,  157 962,  271 893,  590 230,  277 931,  164 450,  56 196,  49 918,  19 732,  4 430,   322, 1 593 064
South America,2002,   75,   542,  1 508,   923,  1 652,  1 488,  2 347,   902,   426,   84,  9 948,  157 181,  271 469,  604 073,  283 898,  168 246,  58 164,  51 511,  20 589,  4 682,   349, 1 620 160
South America,2003,   70,   544,  1 523,   930,  1 689,  1 523,  2 406,   932,   450,   91,  10 158,  156 223,  270 775,  618 067,  289 914,  172 118,  60 227,  53 181,  21 470,  4 951,   377, 1 647 303
South America,2004,   66,   540,  1 523,   929,  1 705,  1 539,  2 433,   948,   468,   97,  10 248,  155 207,  269 893,  632 142,  295 944,  176 053,  62 386,  54 944,  22 371,  5 240,   406, 1 674 583
South America,2005,   62,   538,  1 530,   933,  1 724,  1 556,  2 461,   963,   485,   102,  10 354,  154 278,  268 919,  646 249,  301 961,  180 037,  64 650,  56 820,  23 303,  5 556,   436, 1 702 210
South America,2006,   59,   543,  1 549,   942,  1 756,  1 586,  2 511,   988,   508,   109,  10 551,  153 369,  267 821,  660 369,  307 941,  184 052,  67 020,  58 822,  24 278,  5 902,   469, 1 730 043
South America,2007,   55,   545,  1 566,   954,  1 802,  1 631,  2 589,  1 024,   539,   117,  10 821,  152 401,  266 576,  674 447,  313 855,  188 077,  69 479,  60 946,  25 281,  6 270,   503, 1 757 836
South America,2008,   53,   553,  1 592,   966,  1 827,  1 655,  2 623,  1 040,   557,   123,  10 990,  151 420,  265 219,  688 422,  319 680,  192 102,  72 014,  63 178,  26 285,  6 641,   536, 1 785 498
South America,2009,   50,   555,  1 612,   981,  1 864,  1 691,  2 678,  1 064,   578,   129,  11 202,  150 445,  263 788,  702 238,  325 345,  196 090,  74 626,  65 545,  27 297,  7 012,   570, 1 812 956
South America,2010,   48,   550,  1 616,   988,  1 904,  1 732,  2 751,  1 096,   606,   138,  11 428,  149 439,  262 341,  715 875,  330 814,  200 016,  77 304,  68 035,  28 324,  7 385,   606, 1 840 139
South America,2011,   46,   550,  1 625,   997,  1 937,  1 766,  2 808,  1 119,   627,   145,  11 621,  148 457,  260 905,  729 436,  336 149,  203 905,  80 038,  70 633,  29 379,  7 763,   644, 1 867 309
South America,2012,   44,   546,  1 630,  1 009,  1 985,  1 815,  2 894,  1 154,   655,   155,  11 887,  147 501,  259 459,  742 973,  341 352,  207 759,  82 826,  73 364,  30 477,  8 151,   685, 1 894 547
South America,2013,   43,   540,  1 630,  1 017,  2 025,  1 858,  2 969,  1 184,   678,   162,  12 107,  146 521,  257 983,  756 473,  346 400,  211 567,  85 659,  76 233,  31 616,  8 547,   730, 1 921 728
South America,2014,   41,   538,  1 633,  1 027,  2 062,  1 897,  3 040,  1 211,   695,   169,  12 314,  145 651,  256 543,  769 971,  351 298,  215 326,  88 521,  79 262,  32 810,  8 955,   781, 1 949 117
South America,2015,   40,   528,  1 620,  1 032,  2 105,  1 942,  3 126,  1 245,   721,   179,  12 537,  144 923,  255 151,  783 453,  356 085,  219 032,  91 379,  82 421,  34 048,  9 365,   835, 1 976 691
South America,2016,   39,   542,  1 669,  1 069,  2 201,  2 035,  3 286,  1 309,   757,   191,  13 098,  144 067,  253 684,  796 907,  360 855,  222 701,  94 183,  85 623,  35 290,  9 757,   889, 2 003 957
South America,2017,   39,   535,  1 648,  1 063,  2 236,  2 073,  3 371,  1 349,   785,   202,  13 300,  143 071,  252 080,  810 212,  365 506,  226 277,  96 954,  88 915,  36 576,  10 144,   943, 2 030 678
South America,2018,   38,   517,  1 629,  1 065,  2 280,  2 117,  3 456,  1 385,   809,   212,  13 507,  142 122,  250 349,  823 101,  369 857,  229 668,  99 727,  92 355,  37 962,  10 541,  1 001, 2 056 683
South America,2019,   36,   499,  1 613,  1 076,  2 356,  2 192,  3 600,  1 445,   848,   226,  13 892,  140 953,  248 460,  835 558,  373 955,  232 873,  102 482,  95 896,  39 440,  10 941,  1 058, 2 081 616
South America,2020,   34,   530,  1 865,  1 300,  2 850,  2 657,  4 347,  1 725,  1 000,   273,  16 582,  139 242,  246 338,  847 152,  377 836,  235 876,  105 036,  99 206,  40 792,  11 235,  1 092, 2 103 806
South America,2021,   34,   636,  2 323,  1 613,  3 254,  2 998,  4 776,  1 853,  1 031,   278,  18 795,  137 317,  244 094,  857 344,  381 333,  238 572,  107 278,  102 129,  41 941,  11 432,  1 105, 2 122 545
South America,2022,   33,   534,  1 793,  1 224,  2 772,  2 582,  4 273,  1 726,  1 038,   301,  16 276,  135 533,  241 855,  867 660,  384 742,  241 263,  109 654,  105 285,  43 238,  11 642,  1 108, 2 141 981
South America,2023,   31,   505,  1 663,  1 133,  2 568,  2 393,  3 970,  1 601,   947,   253,  15 063,  133 815,  239 607,  879 068,  388 292,  244 147,  112 430,  109 043,  44 921,  11 977,  1 130, 2 164 429
Northern America,2000,   13,   286,  1 076,   774,  2 485,  2 351,  4 129,  1 794,  1 154,   368,  14 431,  94 809,  166 799,  647 791,  282 887,  175 448,  85 045,  88 335,  45 602,  14 547,  1 574, 1 602 837
Northern America,2001,   13,   294,  1 105,   784,  2 494,  2 355,  4 124,  1 796,  1 168,   373,  14 506,  95 185,  167 489,  655 350,  284 992,  177 361,  87 007,  89 188,  46 138,  14 874,  1 607, 1 619 191
Northern America,2002,   13,   297,  1 130,   795,  2 529,  2 386,  4 165,  1 817,  1 198,   386,  14 716,  95 490,  168 033,  663 361,  287 251,  179 499,  89 172,  90 362,  46 645,  15 216,  1 642, 1 636 672
Northern America,2003,   13,   299,  1 152,   807,  2 537,  2 392,  4 158,  1 812,  1 207,   391,  14 768,  95 752,  168 554,  671 464,  289 480,  181 749,  91 476,  91 789,  47 115,  15 567,  1 678, 1 654 625
